Patient,Fold,Epoch,Loss,Train Accuracy,Test Accuracy
01,0,0,1113.06640625,0.8315038419319429,0.8688254665203073
01,0,1,360.33642578125,0.8656695938529089,0.9061470911086718
01,0,2,325.0647888183594,0.8726673984632273,0.9110867178924259
01,0,3,357.64019775390625,0.8773326015367727,0.8951701427003294
01,0,4,39.349300384521484,0.8874862788144896,0.9039517014270033
01,1,0,833.1951904296875,0.8659440175631175,0.8688254665203073
01,1,1,798.944580078125,0.8798024149286499,0.8836443468715697
01,1,2,731.3507080078125,0.8937980241492866,0.9215148188803512
01,1,3,749.9248046875,0.9012074643249177,0.9121844127332601
01,1,4,387.10015869140625,0.9009330406147091,0.9110867178924259
01,2,0,1264.6011962890625,0.8604555433589463,0.854006586169045
01,2,1,1404.578125,0.8789791437980241,0.8902305159165752
01,2,2,562.4191284179688,0.8913282107574094,0.9034028540065862
01,2,3,431.2784118652344,0.8946212952799122,0.9001097694840834
01,2,4,159.24473571777344,0.9009330406147091,0.9066959385290889
01,3,0,3443.90673828125,0.8527716794731065,0.8572996706915478
01,3,1,495.05328369140625,0.872530186608123,0.8529088913282108
01,3,2,264.3864440917969,0.8905049396267838,0.9039517014270033
01,3,3,113.89738464355469,0.8902305159165752,0.9187705817782656
01,3,4,88.67488861083984,0.8990120746432492,0.9198682766190999
01,4,0,797.0263061523438,0.8504390779363337,0.8841931942919868
01,4,1,903.2101440429688,0.8883095499451152,0.8748627881448957
01,4,2,400.039306640625,0.894072447859495,0.8523600439077936
01,4,3,213.07504272460938,0.8943468715697036,0.893523600439078
01,4,4,153.43740844726562,0.8976399560922064,0.9127332601536773
