Pretrained Patient,Evaluation Patient,Fold,Epoch,Loss,Train Accuracy,Test Accuracy
01,01,0,-1,-1,-1,43.57316087308003
01,01,0,0,2.9802320611338473e-09,97.21099434114794,98.3023443815683
01,01,0,1,5.407594680786133,99.05012126111559,99.91915925626516
01,01,0,2,0.0,99.19159256265158,99.91915925626516
01,01,0,3,0.0,99.73726758286176,99.83831851253031
01,01,0,4,2.2923715114593506,99.69684721099435,99.83831851253031
01,01,0,5,0.0,99.31285367825384,99.75747776879548
01,01,0,6,0.0,99.63621665319322,99.83831851253031
01,01,0,7,0.5703600645065308,99.63621665319322,99.91915925626516
01,01,0,8,0.0,99.73726758286176,99.83831851253031
01,01,0,9,0.0,99.71705739692806,99.91915925626516
01,01,1,-1,-1,-1,49.797898140662895
01,01,1,0,0.38041597604751587,97.41309620048504,98.86822958771221
01,01,1,1,0.20171049237251282,99.13096200485045,99.51495553759095
01,01,1,2,0.0005564397433772683,99.73726758286176,99.75747776879548
01,01,1,3,1.3824472262058407e-05,99.53516572352466,99.75747776879548
01,01,1,4,0.003876173635944724,99.63621665319322,99.75747776879548
01,01,1,5,1.0740361213684082,99.13096200485045,98.94907033144705
01,01,1,6,0.0,99.59579628132579,99.75747776879548
01,01,1,7,0.03642254322767258,99.51495553759095,99.4341147938561
01,01,1,8,0.0,99.37348423605498,99.75747776879548
01,01,1,9,0.0,99.59579628132579,99.75747776879548
01,01,2,-1,-1,-1,38.48019401778496
01,01,2,0,0.6192721128463745,97.3120452708165,99.67663702506063
01,01,2,1,0.0,99.05012126111559,99.83831851253031
01,01,2,2,0.0,99.55537590945836,99.27243330638642
01,01,2,3,0.0,99.6160064672595,99.91915925626516
01,01,2,4,0.0,99.77768795472919,99.91915925626516
01,01,2,5,0.0,99.71705739692806,99.91915925626516
01,01,2,6,0.0,99.87873888439773,99.91915925626516
01,01,2,7,5.772893928224221e-05,99.87873888439773,99.19159256265158
01,01,2,8,0.0,99.87873888439773,99.91915925626516
01,01,2,9,0.0,99.59579628132579,99.91915925626516
01,01,3,-1,-1,-1,46.24090541632983
01,01,3,0,0.40321531891822815,97.47372675828618,99.27243330638642
01,01,3,1,0.061812032014131546,99.23201293451899,99.4341147938561
01,01,3,2,0.0,99.02991107518189,99.67663702506063
01,01,3,3,1.2361594438552856,99.57558609539208,99.75747776879548
