Pretrained Patient,Evaluation Patient,Fold,Epoch,Loss,Train Accuracy,Test Accuracy
01,01,0,-1,-1,-1,45.00084588056166
01,01,0,0,58.53812026977539,67.75926239215023,74.72508881745897
01,01,0,1,47.42395782470703,69.79360514295382,75.30028759939097
01,01,0,2,1.588865041732788,71.62493655895787,74.6405007612925
01,01,0,3,11.821072578430176,71.92945356115716,62.32447978345458
01,01,0,4,2.4611363410949707,71.63339536457453,77.17814244628659
01,01,0,5,7.210961818695068,72.11977668753173,63.762476738284555
01,01,0,6,1.4105173349380493,72.17898832684824,72.4581289121976
01,01,0,7,5.496919631958008,72.33970563356455,79.22517340551514
01,01,0,8,28.227495193481445,71.89138893588225,79.17442057181526
01,01,0,9,6.297682762145996,72.02250042294028,78.31162239891727
01,01,1,-1,-1,-1,45.89747927592624
01,01,1,0,33.64518737792969,65.94484858737945,69.92048722720352
01,01,1,1,6.481915473937988,70.07274572830316,76.14616816105566
01,01,1,2,2.4604620933532715,70.19962781255286,71.81525968533244
01,01,1,3,44.691226959228516,71.21045508374218,76.94129588902047
01,01,1,4,6.142153263092041,70.86364405345965,78.37929284385045
01,01,1,5,21.26472282409668,71.60801894772459,75.16494670952461
01,01,1,6,2.4379804134368896,71.51497208594147,64.89595669091524
01,01,1,7,1.2783478498458862,71.13009643038403,77.719506005752
01,01,1,8,1.1027897596359253,71.574183725258,77.9732701742514
01,01,1,9,6.811583042144775,71.70529521231602,70.22500422940281
01,01,2,-1,-1,-1,49.51784807985112
01,01,2,0,5.41617488861084,67.95804432414143,67.87345626797496
01,01,2,1,2.916621208190918,70.20808661816952,77.3980713923194
01,01,2,2,12.46721076965332,70.69023853831838,76.68753172052106
01,01,2,3,27.690322875976562,70.53375063441042,69.63288783623753
01,01,2,4,3.1422204971313477,71.53611909998308,78.09169345288444
01,01,2,5,2.8209893703460693,72.02250042294028,78.21011673151752
01,01,2,6,3.0557241439819336,71.43884283539165,74.97885298595838
01,01,2,7,10.788046836853027,72.0267298257486,78.32854001015058
01,01,2,8,2.1313817501068115,72.9106750126882,75.36795804432414
01,01,2,9,7.023484230041504,72.90644560987988,78.58230417864998
01,01,3,-1,-1,-1,48.65504990695314
01,01,3,0,103.99149322509766,67.1586871933683,55.30367112163762
01,01,3,1,2.3512394428253174,69.78091693452885,74.47132464895957
01,01,3,2,4.0818891525268555,69.77245812891219,74.50515987142616
01,01,3,3,10.990946769714355,70.05159871426154,77.29656572491965
01,01,3,4,3.0861458778381348,72.65268144138048,76.569108441888
01,01,3,5,9.54570484161377,71.72644222635763,76.67061410928777
01,01,3,6,26.091938018798828,70.86364405345965,74.18372525799357
01,01,3,7,3.7736291885375977,71.1977668753172,78.92065640331585
01,01,3,8,15.46342658996582,71.40500761292505,62.8150905092201
01,01,3,9,1.1136504411697388,72.16630011842328,75.7401454914566
01,01,4,-1,-1,-1,42.513957029267466
01,01,4,0,30.4113712310791,67.87345626797496,71.42615462696668
01,01,4,1,187.40499877929688,70.82135002537642,76.63677888682118
01,01,4,2,10.562932968139648,71.48113686347489,78.15936389781763
01,01,4,3,172.17550659179688,70.56335645406868,74.6743359837591
01,01,4,4,11.351892471313477,73.19404500084588,77.26273050245305
01,01,4,5,29.508087158203125,73.58315005921165,77.75334122821857
01,01,4,6,9.427942276000977,72.18321772965656,78.05785823041786
01,01,4,7,6.7411208152771,71.92099475554052,75.82473354762308
01,01,4,8,2.7608065605163574,71.59956014210793,71.96751818643207
01,01,4,9,7.464519500732422,72.41583488411436,76.06158010488919
02,02,0,-1,-1,-1,50.397563863982406
02,02,0,0,9.229849815368652,66.89223481644392,76.43376755202166
02,02,0,1,34.95082092285156,70.19962781255286,62.764337675520224
02,02,0,2,30.277801513671875,70.22077482659449,68.17797327017425
02,02,0,3,18.37430763244629,70.5845034681103,79.2928438504483
02,02,0,4,7.791966438293457,70.99898494332601,79.9187954660802
02,02,0,5,3.5971720218658447,71.36271358484181,77.05971916765353
02,02,0,6,20.59037208557129,70.79174420571816,77.31348333615293
02,02,0,7,29.22933578491211,72.49196413466419,78.05785823041786
02,02,0,8,1.3011014461517334,71.80680087971578,69.34528844527152
02,02,0,9,20.28628158569336,72.0436474369819,72.84723397056335
02,02,1,-1,-1,-1,51.75097276264592
02,02,1,0,8.487174987792969,67.67044493317543,74.31906614785993
02,02,1,1,42.69778823852539,71.35425477922517,78.43004567755032
02,02,1,2,40.424171447753906,70.52529182879378,77.49957705971917
02,02,1,3,50.49469757080078,69.50600575198781,65.38656741668076
02,02,1,4,26.007898330688477,71.69260700389106,77.85484689561834
02,02,1,5,1.680857539176941,72.79648113686348,78.36237523261715
02,02,1,6,50.44437026977539,70.98206733209271,76.90746066655389
02,02,1,7,9.791973114013672,71.72644222635763,77.02588394518693
02,02,1,8,6.62060022354126,71.36271358484181,76.94129588902047
02,02,1,9,14.35639762878418,72.77956352563018,79.24209101674845
02,02,2,-1,-1,-1,52.004736931145324
02,02,2,0,12.449267387390137,68.02994417188293,78.43004567755032
02,02,2,1,16.56104850769043,70.36034511926917,79.2928438504483
02,02,2,2,43.51392364501953,71.48959566909153,76.90746066655389
02,02,2,3,4.705427646636963,71.6672305870411,72.62730502453054
02,02,2,4,6.109697341918945,72.23819996616477,77.92251734055151
02,02,2,5,33.101192474365234,72.9275926239215,72.7288106919303
02,02,2,6,2.1813888549804688,71.95482997800711,71.81525968533244
02,02,2,7,2.1329474449157715,73.12214515310438,71.83217729656573
02,02,2,8,6.594382286071777,71.37117239045847,65.97868380984605
02,02,2,9,11.783469200134277,72.89375740145492,78.64997462358315
02,02,3,-1,-1,-1,48.046015902554565
02,02,3,0,13.75444507598877,68.42327863305701,75.53713415665709
02,02,3,1,7.672480583190918,69.67095246151244,77.36423616985282
02,02,3,2,1.2840428352355957,69.18880054136356,74.58974792759263
02,02,3,3,84.42266082763672,68.81661309423109,67.85653865674168
02,02,3,4,165.9889678955078,70.53798003721874,73.99763153442734
02,02,3,5,3.756011486053467,70.23769243782777,73.0333276941296
02,02,3,6,2.978740930557251,71.22737269497547,77.88868211808493
02,02,3,7,8.144765853881836,70.80443241414312,76.856707832854
02,02,3,8,1.7251874208450317,72.47504652343089,79.10675012688209
02,02,3,9,38.85150146484375,70.80443241414312,75.85856877008966
02,02,4,-1,-1,-1,48.80730840805278
02,02,4,0,11.94090747833252,66.80764676027745,53.07054643884284
02,02,4,1,5.33654260635376,68.77854846895617,62.62899678565387
02,02,4,2,8.302970886230469,72.23397056335645,69.83589917103706
02,02,4,3,3.031715154647827,70.36457452207749,69.53138216883777
02,02,4,4,16.896114349365234,71.00744374894265,44.121130096430385
02,02,4,5,6.204639911651611,71.38809000169176,76.3153442733886
02,02,4,6,9.530806541442871,71.5572661140247,76.07849771612248
02,02,4,7,3.172948122024536,70.86364405345965,72.28895279986466
02,02,4,8,1.898085594177246,72.57655219083065,74.86042970732532
02,02,4,9,1.5943173170089722,71.77719506005752,78.32854001015058
03,03,0,-1,-1,-1,46.77719506005752
03,03,0,0,4.320985794067383,67.59431568262562,76.3491794958552
03,03,0,1,3.9845142364501953,69.79783454576214,78.58230417864998
03,03,0,2,8.032384872436523,70.70292674674336,78.98832684824903
03,03,0,3,3.561922550201416,70.8340382338014,77.73642361698528
03,03,0,4,2.7416136264801025,73.36322111317882,71.37540179326679
03,03,0,5,1.2952852249145508,71.70952461512434,78.05785823041786
03,03,0,6,13.438876152038574,72.6019286076806,71.6460835729995
03,03,0,7,2.731010675430298,72.10708847910675,76.8397902216207
03,03,0,8,0.8788785934448242,72.37777025883945,79.47893757401455
03,03,0,9,6.219991683959961,72.59769920487227,71.42615462696668
03,03,1,-1,-1,-1,50.71899847741499
03,03,1,0,29.23891830444336,67.19675181864321,66.80764676027745
03,03,1,1,2.1466758251190186,70.32228049399424,74.30214853662663
03,03,1,2,11.978140830993652,70.19539840974454,75.38487565555744
03,03,1,3,4.742147445678711,72.0098122145153,76.78903738792083
03,03,1,4,316.3083190917969,70.27998646591101,74.55591270512603
03,03,1,5,2.495375871658325,71.47690746066655,79.63119607511419
03,03,1,6,0.9587830305099487,71.71798342074099,70.61410928776857
03,03,1,7,0.6975460648536682,72.54271696836406,67.78886821180849
03,03,1,8,4.161953449249268,71.86601251903231,77.21197766875318
03,03,1,9,1.35923171043396,72.37777025883945,77.46574183725258
03,03,2,-1,-1,-1,56.99543224496701
03,03,2,0,59.1347770690918,67.5012688208425,68.85467771950601
03,03,2,1,3.740532875061035,71.40923701573337,78.31162239891727
03,03,2,2,29.08988380432129,70.38995093892743,76.36609710708848
03,03,2,3,42.52313995361328,71.38386059888344,70.51260362036881
03,03,2,4,1.0955642461776733,72.57655219083065,78.48079851125021
03,03,2,5,22.024187088012695,70.53798003721874,75.70631026899002
03,03,2,6,47.138099670410156,72.16630011842328,77.22889527998646
03,03,2,7,2.122960090637207,72.83031635933006,80.4432414143123
03,03,2,8,12.730281829833984,71.37540179326679,69.05768905430553
03,03,2,9,1.7642685174942017,73.30823887667061,79.47893757401455
03,03,3,-1,-1,-1,47.6569108441888
03,03,3,0,3.619908094406128,66.93029944171883,75.55405176789037
03,03,3,1,0.5169476866722107,71.6841481982744,77.44882422601928
03,03,3,2,3.612685203552246,72.39891727288106,75.7401454914566
03,03,3,3,4.117031097412109,71.11740822195905,76.73828455422095
03,03,3,4,3.8154587745666504,70.49991541194383,73.50702080866182
03,03,3,5,10.817737579345703,73.02486888851294,76.569108441888
03,03,3,6,6.326339244842529,70.89747927592623,62.18913889358822
03,03,3,7,4.374752521514893,72.42429368973102,76.29842666215531
03,03,3,8,2.9714648723602295,73.63813229571986,75.65555743529013
03,03,3,9,1.3371102809906006,73.53239722551176,74.62358315005922
03,03,4,-1,-1,-1,50.87125697851464
03,03,4,0,63.906715393066406,68.5839959397733,51.17577398071392
03,03,4,1,120.64497375488281,69.84012857384538,60.46354254779225
03,03,4,2,12.015909194946289,70.72407376078498,74.06530197936051
03,03,4,3,234.69573974609375,70.80443241414312,66.99374048384368
03,03,4,4,9.210355758666992,72.43275249534766,77.53341228218575
03,03,4,5,2.1276350021362305,72.70766367788868,59.24547453899509
03,03,4,6,5.417199611663818,72.25088817458975,78.85298595838267
03,03,4,7,8.29104232788086,73.04601590255456,78.53155134495009
03,03,4,8,2.122615337371826,72.22128235493147,78.56538656741668
03,03,4,9,4.33059549331665,72.28472339705634,78.8022331246828
05,05,0,-1,-1,-1,46.20199627812553
05,05,0,0,118.43894958496094,68.15682625613263,69.97124006090341
05,05,0,1,95.91586303710938,70.84672644222636,63.15344273388598
05,05,0,2,19.057727813720703,71.61647775334123,74.31906614785993
05,05,0,3,3.8157780170440674,71.28235493148367,61.61394011165623
05,05,0,4,15.152509689331055,71.85755371341567,78.8022331246828
05,05,0,5,5.564051628112793,72.52579935713077,77.88868211808493
05,05,0,6,16.006240844726562,71.2696667230587,79.42818474031466
05,05,0,7,1.9732072353363037,72.6907460666554,79.51277279648113
05,05,0,8,5.257874488830566,71.92522415834884,79.12366773811537
05,05,0,9,2.5284194946289062,72.73726949754695,79.81728979868042
05,05,1,-1,-1,-1,55.04990695313822
05,05,1,0,13.748710632324219,67.03603451192691,64.1854170191169
05,05,1,1,6.365908145904541,70.41955675858568,75.55405176789037
05,05,1,2,0.5196130871772766,71.36271358484181,69.48062933513788
05,05,1,3,30.639007568359375,70.41955675858568,75.55405176789037
05,05,1,4,7.604648590087891,71.76027744882423,76.569108441888
05,05,1,5,6.748147487640381,71.09203180510913,77.3980713923194
05,05,1,6,14.51134967803955,71.95060057519879,68.27947893757401
05,05,1,7,0.7492119669914246,72.95296904077145,78.61613940111656
05,05,1,8,12.578492164611816,72.4581289121976,77.27964811368635
05,05,1,9,2.4369287490844727,71.50228387751649,78.36237523261715
05,05,2,-1,-1,-1,46.709524615124344
05,05,2,0,12.936979293823242,66.90069362206057,75.94315682625613
05,05,2,1,20.744762420654297,70.37726273050245,77.60108272711894
05,05,2,2,17.11571502685547,69.9543224496701,65.64033158518016
05,05,2,3,8.390166282653809,70.70292674674336,77.87176450685163
05,05,2,4,5.3324432373046875,71.73913043478261,59.31314498392827
05,05,2,5,3.255316734313965,71.68837760108273,78.81915073591608
05,05,2,6,33.1942253112793,71.574183725258,56.38639824056844
05,05,2,7,8.592880249023438,72.72035188631365,78.76839790221621
05,05,2,8,5.078045845031738,72.29741160548132,78.17628150905092
05,05,2,9,14.717470169067383,71.82794789375741,49.044154965318896
05,05,3,-1,-1,-1,52.46151243444426
